ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_all,ALL,98,ALL,1
2_ash,ASH,646,ASH,2
3_bark,BARK,1204,BARK,3
4_belly,BELLY,1251,BELLY,4
5_big,BIG,1202,BIG,5
6_bird,BIRD,937,BIRD,6
7_bite,BITE,1403,BITE,7
8_black,BLACK,163,BLACK,8
9_blood,BLOOD,946,BLOOD,9
10_bone,BONE,1394,BONE,10
11_breast,BREAST,1402,BREAST,11
12_burnvt,BURN(VT,141,BURN (SOMETHING),12
13_claw,CLAW,72,CLAW,13
14_cloud,CLOUD,1489,CLOUD,14
15_cold,COLD,1287,COLD,15
16_come,COME,1446,COME,16
17_die,DIE,1494,DIE,17
18_dog,DOG,2009,DOG,18
19_drink,DRINK,1401,DRINK,19
20_dry,DRY,1398,DRY,20
21_ear,EAR,1247,EAR,21
22_earthdirt,"EARTH,DIRT",1228,EARTH (SOIL),22
23_eat,EAT,1336,EAT,23
24_egg,EGG,744,EGG,24
25_eye,EYE,1248,EYE,25
26_fatn,"FAT,N.",323,FAT (ORGANIC SUBSTANCE),26
27_feather,FEATHER,1201,FEATHER,27
28_fire,FIRE,221,FIRE,28
29_fish,FISH,227,FISH,29
30_fly,FLY,1441,FLY (MOVE THROUGH AIR),30
31_foot,FOOT,1301,FOOT,31
32_full,FULL,1429,FULL,32
33_give,GIVE,1447,GIVE,33
34_goodadj,GOODadj,1035,GOOD,34
35_green,GREEN,1425,GREEN,35
36_hair,HAIR,1040,HAIR,36
37_hand,HAND,1277,HAND,37
38_head,HEAD,1256,HEAD,38
39_hear,HEAR,1408,HEAR,39
40_heart,HEART,1223,HEART,40
41_horn,HORN,1393,HORN (ANATOMY),41
42_i,I,1209,I,42
43_kill,KILL,1417,KILL,43
44_knee,KNEE,1371,KNEE,44
45_know,KNOW,1410,KNOW (SOMETHING),45
46_leaf,LEAF,628,LEAF,46
47_lie,LIE,1411,LIE (REST),47
48_liver,LIVER,1224,LIVER,48
49_long,LONG,1203,LONG,49
50_louse,LOUSE,1392,LOUSE,50
51_man,MAN,1554,MAN,51
52_many,MANY,1198,MANY,52
53_meat,MEAT,634,MEAT,53
54_moon,MOON,1313,MOON,54
55_mountain,MOUNTAIN,639,MOUNTAIN,55
56_mouth,MOUTH,674,MOUTH,56
57_name,NAME,1405,NAME,57
58_neck,NECK,1333,NECK,58
59_new,NEW,1231,NEW,59
60_night,NIGHT,1233,NIGHT,60
61_nose,NOSE,1221,NOSE,61
62_not,NOT,1240,NOT,62
63_one,ONE,1493,ONE,63
64_person,PERSON,683,PERSON,64
65_rain,RAIN,2108,RAINING OR RAIN,65
66_red,RED,156,RED,66
67_road,ROAD,667,ROAD,67
68_root,ROOT,670,ROOT,68
69_round,ROUND,1395,ROUND,69
70_sand,SAND,671,SAND,70
71_say,SAY,1458,SAY,71
72_see,SEE,1409,SEE,72
73_seed,SEED,714,SEED,73
74_sit,SIT,1416,SIT,74
75_skin,SKIN,763,SKIN,75
76_sleep,SLEEP,1585,SLEEP,76
77_small,SMALL,1246,SMALL,77
78_smoke,SMOKE,778,SMOKE (EXHAUST),78
79_stand,STAND,1442,STAND,79
80_star,STAR,1430,STAR,80
81_stone,STONE,857,STONE,81
82_sun,SUN,1343,SUN,82
83_swim,SWIM,1439,SWIM,83
84_tail,TAIL,1220,TAIL,84
85_that,THAT,78,THAT,85
86_this,THIS,1214,THIS,86
87_thou,THOU,1215,THOU,87
88_tongue,TONGUE,1205,TONGUE,88
89_tooth,TOOTH,1380,TOOTH,89
90_tree,TREE,906,TREE,90
91_two,TWO,1498,TWO,91
92_walk,WALK,1443,WALK,92
93_warm,WARM,1232,WARM,93
94_water,WATER,948,WATER,94
95_we,WE,1212,WE,95
96_what,WHAT,1236,WHAT,96
97_white,WHITE,1335,WHITE,97
98_who,WHO,1235,WHO,98
99_woman,WOMAN,962,WOMAN,99
100_yellow,YELLOW,1424,YELLOW,100
